"name" "value"
"!Kung" "Ambilocal"
"Dorobo" "Patrilocal"
"Nama" "Patrilocal"
"Bergdama" "NA"
"Mbuti" "NA"
"Sandawe" "Patrilocal"
"Naron" "NA"
"/Xam" "Ambilocal"
"Hadza" "Ambilocal"
"Herero" "Patrilocal"
"Pondo" "Patrilocal"
"Xhosa" "Patrilocal"
"Zulu" "Patrilocal"
"Tswana" "Patrilocal"
"Lovedu" "Patrilocal"
"Pedi" "Patrilocal"
"Lenge" "Patrilocal"
"Ndau" "Patrilocal"
"Shona" "Patrilocal"
"Ambo" "Patrilocal"
"Swazi" "Patrilocal"
"Ngumbi" "Patrilocal"
"Kisama" "Patrilocal"
"Bomvana" "Patrilocal"
"Chopi" "Patrilocal"
"Lozi" "Patrilocal"
"Tsonga" "Patrilocal"
"Mbundu" "Patrilocal"
"Venda" "Patrilocal"
"Nyaneka" "Matrilocal"
"Sotho" "Patrilocal"
"Ndebele" "Patrilocal"
"Ila" "Patrilocal"
"Chewa" "Matrilocal"
"Luvale" "Matrilocal"
"Chokwe" "Matrilocal"
"Tonga" "Matrilocal"
"Bakongo" "Matrilocal"
"Mbala" "Matrilocal"
"Mitsogho" "Matrilocal"
"Suku" "Patrilocal"
"Sundi" "Matrilocal"
"Teke" "Patrilocal"
"Pende" "Matrilocal"
"Yaka" "Matrilocal"
"Bunda" "Matrilocal"
"Dzing" "Matrilocal"
"Lele" "Matrilocal"
"Sakata" "Matrilocal"
"Songo" "Matrilocal"
"Yanzi" "Matrilocal"
"Luchazi" "Matrilocal"
"Luimbe" "Patrilocal"
"Luwa" "Matrilocal"
"Bemba" "Matrilocal"
"Plateau Tonga" "Patrilocal"
"Buye" "Matrilocal"
"Kaonde" "Matrilocal"
"Lala" "Matrilocal"
"Luapula" "Matrilocal"
"Shila" "Matrilocal"
"Tumbuka" "Patrilocal"
"Kunda" "Matrilocal"
"Nyanja" "Matrilocal"
"Nyasa" "Matrilocal"
"Kuba" "Matrilocal"
