"name" "value"
"Kung" "Ambilocal"
"Herero" "Patrilocal"
"Swazi" "Patrilocal"
"Ila" "Patrilocal"
"Pende" "Matrilocal"
"Bajun" "Neolocal"
"Nyoro" "Patrilocal"
"Amba" "Patrilocal"
"Kpe" "Patrilocal"
"Fon" "Patrilocal"
"Kissi" "Patrilocal"
"Bambara" "Patrilocal"
"Yatenga" "Patrilocal"
"Katab" "Patrilocal"
"Banda" "Patrilocal"
"Nyaro" "Patrilocal"
"Teso" "Patrilocal"
"Konso" "Neolocal"
"Somali" "Patrilocal"
"Maguzawa" "Patrilocal"
"Wolof" "Patrilocal"
"Regeibat" "Patrilocal"
"Teda" "Patrilocal"
"Barabra" "Patrilocal"
"Gheg" "Patrilocal"
"Portuguese" "Patrilocal"
"New England" "Neolocal"
"Dutch" "Ambilocal"
"Icelanders" "Patrilocal"
"Serbs" "Patrilocal"
"Kalmyk" "Patrilocal"
"Khevsur" "Patrilocal"
"Syrians" "Patrilocal"
"Sindhi" "Patrilocal"
"Kazak" "Patrilocal"
"Monguor" "Patrilocal"
"Gilyak" "Patrilocal"
"Yakut" "Patrilocal"
"Koreans" "Patrilocal"
"Lolo" "Patrilocal"
"Abor" "Patrilocal"
"Santal" "Patrilocal"
"Chenchu" "Ambilocal"
"Tamil" "Patrilocal"
"Andamese" "Ambilocal"
"Merina" "Patrilocal"
"Garo" "Matrilocal"
"Lhota" "Patrilocal"
"Lamet" "Patrilocal"
"Mnong Gar" "Matrilocal"
"Atayal" "Patrilocal"
"Sagada" "Ambilocal"
"Iban" "Ambilocal"
"Javanese" "Neolocal"
"Macassarese" "Ambilocal"
"Aranda" "Patrilocal"
"Kapauku" "Patrilocal"
"Wantoat" "Patrilocal"
"Palauans" "Matrilocal"
"Trukese" "Matrilocal"
"Siuai" "Matrilocal"
"Trobriands" "Matrilocal"
"Mota" "Matrilocal"
"Seniang" "Patrilocal"
"Samoans" "Ambilocal"
"Tikopia" "Patrilocal"
"Mangaians" "Patrilocal"
"Nabesna" "Matrilocal"
"Tareumiut" "Ambilocal"
"Haida" "Matrilocal"
"Twana" "Patrilocal"
"Nomlaki" "Patrilocal"
"Tenino" "Patrilocal"
"Southern Ute" "Matrilocal"
"Gros Ventre" "Patrilocal"
"Kiowa Apache" "Matrilocal"
"Ojibwa" "Patrilocal"
"Winnebago" "Patrilocal"
